animal_type,breed,sex_upon_intake,sex_upon_outcome,age_upon_intake,age_upon_outcome,intake_type,intake_condition,outcome_type,time_in_shelter_days
Cat,Domestic Shorthair Mix,Neutered Male,Neutered Male,10 years,10 years,Stray,Normal,Transfer,7.031944444444444
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,4 weeks,4 weeks,Stray,Normal,Transfer,0.04722222222222223
Dog,Cairn Terrier Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,4.329166666666667
Dog,Toy Poodle Mix,Spayed Female,Spayed Female,5 years,5 years,Public Assist,Normal,Return to Owner,2.051388888888889
Dog,Bichon Frise Mix,Intact Female,Spayed Female,5 years,5 years,Stray,Normal,Adoption,4.439583333333333
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 weeks,2 months,Stray,Normal,Adoption,68.93958333333333
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,1 day,1 weeks,Stray,Normal,Transfer,6.926388888888889
Dog,Labrador Retriever/Australian Shepherd,Intact Female,Spayed Female,0 years,1 month,Stray,Normal,Adoption,57.7125
Dog,Border Terrier Mix,Intact Female,Spayed Female,4 years,4 years,Stray,Normal,Adoption,15.86736111111111
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,25.950694444444444
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,28.226388888888888
Dog,Pointer Mix,Neutered Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,19.347916666666663
Dog,Jack Russell Terrier/Chihuahua Shorthair,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,4.834027777777778
Dog,Collie Smooth Mix,Intact Male,Intact Male,2 months,2 months,Stray,Normal,Transfer,1.80625
Dog,Wirehaired Pointing Griffon Mix,Neutered Male,Neutered Male,6 years,6 years,Stray,Normal,Return to Owner,2.2305555555555556
Dog,Dachshund Mix,Intact Male,Neutered Male,9 years,10 years,Stray,Normal,Adoption,42.87222222222222
Dog,German Shepherd Mix,Neutered Male,Neutered Male,1 year,1 year,Stray,Normal,Adoption,18.083333333333332
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,2 months,Owner Surrender,Normal,Adoption,7.209027777777778
Dog,Labrador Retriever Mix,Intact Female,Intact Female,1 year,1 year,Stray,Injured,Euthanasia,0.34861111111111115
Dog,Australian Cattle Dog/German Shepherd,Intact Male,Neutered Male,9 months,10 months,Stray,Normal,Adoption,9.924305555555556
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,6 days,2 months,Stray,Normal,Adoption,66.33055555555555
Dog,Border Collie/Australian Cattle Dog,Intact Female,Intact Female,9 months,9 months,Stray,Normal,Return to Owner,1.1493055555555556
Dog,Miniature Schnauzer,Spayed Female,Spayed Female,10 years,10 years,Stray,Normal,Return to Owner,0.02013888888888889
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,2 days,3 months,Stray,Normal,Adoption,94.0215277777778
Dog,Miniature Poodle Mix,Intact Female,Spayed Female,6 years,6 years,Stray,Normal,Return to Owner,1.9680555555555552
Dog,Labrador Retriever Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,21.289583333333333
Dog,Chihuahua Shorthair Mix,Intact Female,Spayed Female,1 month,1 month,Stray,Normal,Adoption,4.222222222222222
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,4 weeks,4 weeks,Stray,Normal,Transfer,1.132638888888889
Dog,Pit Bull Mix,Spayed Female,Spayed Female,6 months,6 months,Owner Surrender,Normal,Adoption,5.979166666666667
Dog,Jack Russell Terrier Mix,Intact Male,Intact Male,2 years,2 years,Owner Surrender,Normal,Euthanasia,0.03055555555555555
Dog,Papillon Mix,Intact Male,Neutered Male,2 years,2 years,Stray,Injured,Adoption,16.215972222222224
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,3 months,3 months,Stray,Normal,Adoption,16.177777777777777
Dog,Labrador Retriever Mix,Neutered Male,Neutered Male,4 years,4 years,Stray,Normal,Return to Owner,4.009722222222222
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,1 month,2 months,Owner Surrender,Normal,Transfer,4.981944444444444
Dog,Dachshund Mix,Intact Male,Neutered Male,3 months,3 months,Stray,Normal,Adoption,4.850694444444445
Dog,Chihuahua Shorthair/Rat Terrier,Intact Female,Spayed Female,4 years,4 years,Stray,Normal,Adoption,8.050694444444444
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,5.1125
Dog,Dachshund Longhair/Chihuahua Longhair,Intact Female,Spayed Female,2 years,2 years,Stray,Normal,Adoption,11.31388888888889
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,4 weeks,2 months,Stray,Normal,Adoption,42.2125
Dog,Beagle Mix,Spayed Female,Spayed Female,8 years,8 years,Stray,Normal,Return to Owner,0.7500000000000001
Dog,Chihuahua Shorthair Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Return to Owner,7.104861111111111
Dog,Miniature Poodle Mix,Spayed Female,Spayed Female,4 years,4 years,Stray,Normal,Return to Owner,0.18750000000000003
Dog,Labrador Retriever Mix,Intact Female,Spayed Female,7 months,8 months,Stray,Normal,Adoption,4.303472222222222
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,3 weeks,3 weeks,Stray,Normal,Transfer,0.02361111111111111
Dog,Silky Terrier Mix,Intact Female,Spayed Female,4 years,4 years,Stray,Normal,Adoption,4.000694444444444
Dog,German Shepherd,Intact Female,Spayed Female,2 years,2 years,Owner Surrender,Normal,Adoption,8.96111111111111
Dog,Labrador Retriever/Blue Lacy,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,35.88472222222222
Dog,German Shepherd/Australian Cattle Dog,Intact Male,Neutered Male,3 months,3 months,Stray,Normal,Transfer,8.001388888888888
Cat,Domestic Shorthair Mix,Unknown,Unknown,2 weeks,2 weeks,Stray,Normal,Transfer,0.00277777777777777
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 month,2 months,Stray,Normal,Adoption,46.370138888888896
Dog,American Bulldog Mix,Neutered Male,Neutered Male,5 years,5 years,Stray,Normal,Return to Owner,0.05972222222222222
Cat,Domestic Shorthair Mix,Unknown,Unknown,2 months,2 months,Stray,Sick,Transfer,0.05416666666666667
Dog,German Shepherd/Labrador Retriever,Intact Female,Spayed Female,1 month,1 month,Stray,Normal,Adoption,4.217361111111111
Dog,Chihuahua Longhair Mix,Intact Male,Intact Male,3 years,3 years,Public Assist,Normal,Transfer,31.863888888888887
Cat,Domestic Medium Hair Mix,Unknown,Unknown,6 days,6 days,Stray,Normal,Transfer,0.05694444444444444
Dog,Chihuahua Longhair Mix,Intact Female,Spayed Female,9 months,10 months,Stray,Normal,Adoption,10.072222222222225
Dog,Cairn Terrier Mix,Intact Male,Intact Male,3 years,3 years,Public Assist,Normal,Return to Owner,0.14722222222222223
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,2 weeks,2 weeks,Stray,Normal,Transfer,1.9680555555555552
Dog,Pit Bull Mix,Spayed Female,Spayed Female,8 years,8 years,Public Assist,Normal,Return to Owner,9.959027777777775
Dog,Cardigan Welsh Corgi Mix,Intact Female,Intact Female,10 years,10 years,Stray,Aged,Died,4.804861111111111
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,46.31458333333334
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,3 years,3 years,Owner Surrender,Normal,Transfer,34.83402777777778
Dog,Pit Bull Mix,Intact Male,Intact Male,4 weeks,1 month,Owner Surrender,Normal,Transfer,4.997916666666667
Dog,German Shorthair Pointer Mix,Intact Male,Intact Male,7 years,7 years,Stray,Normal,Return to Owner,4.897222222222222
Dog,Staffordshire Mix,Intact Male,Neutered Male,6 years,6 years,Stray,Normal,Return to Owner,1.2625
Dog,Chihuahua Shorthair Mix,Intact Female,Spayed Female,3 years,3 years,Owner Surrender,Normal,Transfer,3.0506944444444444
Dog,Miniature Schnauzer Mix,Neutered Male,Neutered Male,2 years,2 years,Public Assist,Normal,Return to Owner,5.699305555555556
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,8.219444444444445
Dog,Pit Bull Mix,Intact Female,Spayed Female,1 year,1 year,Public Assist,Normal,Adoption,129.05833333333334
Cat,Domestic Longhair Mix,Intact Male,Intact Male,4 months,4 months,Stray,Normal,Transfer,0.24722222222222223
Dog,Labrador Retriever/Standard Poodle,Intact Male,Neutered Male,2 months,2 months,Stray,Normal,Adoption,4.290277777777778
Cat,Domestic Medium Hair Mix,Intact Male,Intact Male,3 weeks,3 weeks,Stray,Normal,Transfer,0.10694444444444444
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,2 weeks,2 weeks,Stray,Normal,Transfer,0.9298611111111112
Dog,Boxer/Pit Bull,Neutered Male,Neutered Male,9 months,10 months,Stray,Normal,Adoption,16.09861111111111
Cat,American Shorthair Mix,Intact Male,Neutered Male,1 weeks,2 months,Stray,Normal,Adoption,70.90763888888888
Dog,Australian Cattle Dog Mix,Neutered Male,Neutered Male,8 years,8 years,Owner Surrender,Normal,Adoption,300.93888888888887
Dog,Staffordshire Mix,Intact Male,Intact Male,5 years,5 years,Stray,Normal,Return to Owner,0.9291666666666668
Dog,Boxer Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,21.1
Dog,Pit Bull Mix,Intact Female,Intact Female,2 years,2 years,Stray,Injured,Transfer,9.23125
Dog,German Shepherd Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,4.190972222222222
Dog,Siberian Husky Mix,Intact Female,Intact Female,1 year,1 year,Owner Surrender,Normal,Adoption,0.2569444444444444
Dog,Labrador Retriever Mix,Intact Female,Spayed Female,1 month,2 months,Stray,Normal,Transfer,6.946527777777778
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,3 weeks,3 weeks,Stray,Normal,Transfer,0.19652777777777777
Dog,Labrador Retriever/Australian Shepherd,Spayed Female,Spayed Female,2 years,2 years,Owner Surrender,Normal,Return to Owner,0.9805555555555556
Dog,German Shepherd Mix,Intact Male,Neutered Male,3 years,3 years,Stray,Normal,Adoption,4.0777777777777775
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 year,1 year,Owner Surrender,Normal,Adoption,121.18541666666668
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,1 year,1 year,Stray,Normal,Transfer,0.9027777777777778
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,4 months,5 months,Stray,Normal,Adoption,5.320833333333334
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,6 months,6 months,Owner Surrender,Normal,Transfer,1.113888888888889
Cat,Domestic Medium Hair Mix,Intact Male,Neutered Male,4 weeks,3 months,Stray,Normal,Adoption,86.60208333333334
Dog,German Shepherd Mix,Intact Male,Intact Male,3 years,3 years,Stray,Normal,Transfer,11.854861111111113
Cat,Domestic Medium Hair Mix,Intact Female,Spayed Female,2 months,2 months,Stray,Normal,Adoption,5.163888888888889
Dog,Blue Lacy Mix,Neutered Male,Neutered Male,2 years,2 years,Stray,Normal,Return to Owner,0.9763888888888888
Cat,Domestic Shorthair,Unknown,Unknown,2 weeks,2 weeks,Stray,Normal,Transfer,0.6902777777777779
Dog,Pit Bull Mix,Spayed Female,Spayed Female,4 years,4 years,Stray,Normal,Transfer,19.07430555555555
Dog,Chow Chow Mix,Intact Male,Intact Male,1 year,1 year,Public Assist,Normal,Return to Owner,6.992361111111111
Dog,Chihuahua Shorthair Mix,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,5.159722222222222
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,4 weeks,4 weeks,Stray,Normal,Transfer,1.292361111111111
Dog,Chihuahua Shorthair Mix,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,18.916666666666668
Dog,German Shepherd/Labrador Retriever,Spayed Female,Spayed Female,1 year,1 year,Stray,Normal,Return to Owner,4.103472222222222
Dog,Australian Cattle Dog Mix,Intact Male,Neutered Male,5 months,5 months,Stray,Normal,Adoption,9.144444444444444
Dog,Miniature Poodle Mix,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,6.106944444444444
Dog,Chihuahua Shorthair Mix,Intact Male,Neutered Male,1 year,1 year,Owner Surrender,Normal,Transfer,4.054861111111111
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,4 weeks,2 months,Stray,Normal,Adoption,37.24722222222222
Dog,Border Collie Mix,Intact Female,Intact Female,8 years,8 years,Owner Surrender,Injured,Transfer,22.96944444444445
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,9 months,9 months,Stray,Normal,Adoption,6.439583333333333
Dog,Labrador Retriever/Staffordshire,Intact Female,Intact Female,9 months,9 months,Owner Surrender,Normal,Adoption,7.945138888888889
Dog,Labrador Retriever/Beagle,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,19.19236111111111
Dog,Chihuahua Shorthair Mix,Intact Female,Intact Female,4 weeks,4 weeks,Stray,Sick,Transfer,0.19166666666666668
Dog,Cavalier Span,Intact Male,Intact Male,4 years,4 years,Stray,Normal,Return to Owner,1.3333333333333333
Dog,Pit Bull Mix,Intact Female,Spayed Female,2 years,2 years,Stray,Normal,Adoption,29.073611111111113
Dog,German Shepherd Mix,Intact Female,Spayed Female,2 months,2 months,Owner Surrender,Normal,Adoption,1.288888888888889
Dog,French Bulldog/Chihuahua Shorthair,Intact Male,Neutered Male,6 months,7 months,Stray,Normal,Adoption,6.095833333333333
Dog,Cairn Terrier Mix,Neutered Male,Neutered Male,2 years,2 years,Stray,Normal,Transfer,4.8375
Dog,Chihuahua Shorthair Mix,Intact Female,Intact Female,14 years,14 years,Stray,Aged,Return to Owner,1.0013888888888889
Dog,American Foxhound Mix,Spayed Female,Spayed Female,2 years,2 years,Stray,Normal,Return to Owner,3.010416666666667
Dog,American Staffordshire Terrier Mix,Intact Female,Spayed Female,2 years,2 years,Stray,Normal,Adoption,19.164583333333333
Dog,Dachshund Mix,Intact Female,Intact Female,2 years,2 years,Stray,Normal,Return to Owner,0.12638888888888888
Dog,Dachshund/Pit Bull,Spayed Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,8.968055555555555
Dog,Labrador Retriever Mix,Intact Female,Spayed Female,2 months,2 months,Stray,Normal,Adoption,5.0368055555555555
Dog,Australian Shepherd,Neutered Male,Neutered Male,2 years,2 years,Public Assist,Normal,Return to Owner,4.064583333333333
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,4 weeks,1 month,Stray,Normal,Adoption,18.991666666666667
Dog,Pit Bull Mix,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,4.243055555555555
Dog,Pit Bull Mix,Neutered Male,Neutered Male,5 years,5 years,Stray,Normal,Adoption,173.0361111111111
Cat,Domestic Medium Hair Mix,Spayed Female,Spayed Female,2 years,2 years,Stray,Normal,Transfer,6.975694444444445
Dog,Pit Bull Mix,Intact Male,Intact Male,3 years,3 years,Stray,Normal,Rto-Adopt,9.735416666666667
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,2 weeks,2 weeks,Stray,Normal,Transfer,0.07430555555555556
Dog,Pit Bull Mix,Intact Male,Intact Male,3 years,3 years,Public Assist,Normal,Return to Owner,10.19513888888889
Dog,Cardigan Welsh Corgi Mix,Spayed Female,Spayed Female,2 years,2 years,Stray,Normal,Adoption,5.195833333333334
Dog,Boxer Mix,Spayed Female,Spayed Female,5 years,6 years,Stray,Normal,Adoption,219.91805555555555
Cat,Domestic Shorthair Mix,Unknown,Unknown,2 weeks,2 weeks,Stray,Normal,Transfer,0.08263888888888889
Dog,Cairn Terrier Mix,Spayed Female,Spayed Female,3 years,3 years,Stray,Normal,Adoption,4.942361111111111
Dog,Pit Bull Mix,Neutered Male,Neutered Male,8 years,8 years,Stray,Normal,Return to Owner,1.0444444444444445
Cat,Domestic Shorthair,Intact Female,Intact Female,4 weeks,1 month,Stray,Injured,Transfer,6.581944444444445
Dog,Cocker Spaniel Mix,Neutered Male,Neutered Male,5 years,5 years,Stray,Normal,Return to Owner,0.19166666666666668
Dog,Chihuahua Shorthair Mix,Intact Male,Intact Male,2 years,2 years,Owner Surrender,Normal,Transfer,6.261805555555555
Dog,Pit Bull Mix,Intact Male,Intact Male,2 days,2 days,Stray,Nursing,Transfer,0.14097222222222222
Dog,Australian Cattle Dog/Beagle,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,11.08888888888889
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,2 months,3 months,Stray,Normal,Adoption,34.10486111111111
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,3 years,3 years,Stray,Normal,Transfer,7.01875
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,3 years,3 years,Stray,Normal,Return to Owner,1.0347222222222223
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 month,2 months,Stray,Normal,Adoption,30.941666666666663
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 month,4 months,Stray,Injured,Adoption,68.09513888888888
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,3 days,1 weeks,Stray,Nursing,Transfer,9.730555555555556
Dog,Staffordshire Mix,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,72.19444444444444
Dog,Labrador Retriever/Pit Bull,Intact Male,Intact Male,4 years,4 years,Owner Surrender,Normal,Euthanasia,0.08055555555555556
Dog,Pit Bull Mix,Intact Female,Spayed Female,7 months,7 months,Stray,Normal,Adoption,5.054166666666666
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,2 months,2 months,Stray,Normal,Adoption,5.1819444444444445
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,3 years,3 years,Owner Surrender,Normal,Transfer,5.248611111111111
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,5 years,5 years,Stray,Normal,Transfer,0.7131944444444446
Dog,Pit Bull Mix,Intact Female,Intact Female,1 year,1 year,Stray,Normal,Transfer,1.5409722222222222
Dog,Anatol Shepherd,Intact Female,Spayed Female,2 months,2 months,Owner Surrender,Normal,Adoption,6.1625
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,2 months,2 months,Owner Surrender,Normal,Adoption,4.069444444444445
Dog,Siberian Husky Mix,Spayed Female,Spayed Female,8 years,8 years,Owner Surrender,Normal,Adoption,11.309722222222224
Cat,Siamese Mix,Spayed Female,Spayed Female,5 years,5 years,Owner Surrender,Normal,Transfer,17.189583333333335
Dog,Chihuahua Longhair Mix,Intact Male,Neutered Male,1 year,1 year,Stray,Normal,Adoption,4.093055555555556
Dog,Chow Chow/Chinese Sharpei,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Transfer,15.78125
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,1 month,2 months,Stray,Normal,Transfer,10.093055555555557
Dog,Yorkshire Terrier Mix,Spayed Female,Spayed Female,3 years,3 years,Owner Surrender,Injured,Adoption,1.163888888888889
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,2 months,2 months,Stray,Normal,Adoption,15.288194444444445
Dog,Catahoula/Plott Hound,Intact Female,Spayed Female,0 years,1 month,Stray,Normal,Adoption,56.21388888888889
Dog,Labrador Retriever Mix,Intact Female,Intact Female,14 years,14 years,Stray,Normal,Return to Owner,0.00833333333333333
Cat,Domestic Shorthair Mix,Neutered Male,Neutered Male,4 years,4 years,Stray,Normal,Euthanasia,0.19305555555555556
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,2 months,2 months,Stray,Normal,Adoption,5.0784722222222225
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,5 weeks,1 month,Stray,Normal,Transfer,3.9625
Dog,Shih Tzu,Intact Female,Spayed Female,1 day,1 month,Owner Surrender,Nursing,Adoption,57.40763888888889
Dog,Siberian Husky/German Shepherd,Intact Male,Intact Male,2 months,2 months,Stray,Sick,Transfer,0.17986111111111114
Dog,Pit Bull Mix,Spayed Female,Spayed Female,3 years,3 years,Stray,Normal,Return to Owner,4.031944444444444
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 year,1 year,Owner Surrender,Normal,Adoption,2.1180555555555554
Dog,Labrador Retriever Mix,Spayed Female,Spayed Female,1 year,1 year,Owner Surrender,Normal,Adoption,34.05138888888889
Dog,Border Collie/Labrador Retriever,Intact Male,Neutered Male,7 months,1 year,Stray,Injured,Adoption,159.81597222222223
Cat,Domestic Medium Hair Mix,Neutered Male,Neutered Male,12 years,12 years,Euthanasia Request,Sick,Euthanasia,1.1194444444444445
Dog,Labrador Retriever Mix,Neutered Male,Neutered Male,2 years,2 years,Public Assist,Normal,Adoption,21.950000000000003
Dog,Dachshund Wirehair Mix,Neutered Male,Neutered Male,4 years,5 years,Stray,Normal,Adoption,3.9930555555555554
Dog,Basset Hound Mix,Intact Female,Intact Female,2 years,2 years,Stray,Normal,Return to Owner,2.6993055555555556
Cat,Domestic Medium Hair Mix,Intact Female,Spayed Female,4 weeks,2 months,Stray,Normal,Adoption,44.35416666666667
Dog,Chihuahua Shorthair Mix,Intact Female,Spayed Female,5 months,5 months,Stray,Normal,Adoption,11.08263888888889
Dog,Labrador Retriever,Spayed Female,Spayed Female,5 years,5 years,Stray,Normal,Adoption,45.06111111111112
Dog,Lhasa Apso Mix,Spayed Female,Spayed Female,7 years,7 years,Owner Surrender,Normal,Transfer,0.29375
Dog,German Shorthair Pointer Mix,Intact Female,Spayed Female,2 months,2 months,Stray,Normal,Adoption,4.272222222222222
Dog,Labrador Retriever Mix,Intact Male,Neutered Male,2 months,2 months,Stray,Normal,Adoption,4.106944444444444
Dog,Chihuahua Longhair/Yorkshire Terrier,Intact Male,Neutered Male,9 months,10 months,Stray,Normal,Adoption,4.292361111111111
Dog,Pit Bull/German Shepherd,Intact Male,Neutered Male,1 year,1 year,Public Assist,Normal,Return to Owner,11.16875
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,4 weeks,4 weeks,Stray,Normal,Transfer,0.16805555555555557
Dog,Manchester Terrier Mix,Neutered Male,Neutered Male,1 year,1 year,Stray,Normal,Adoption,8.127777777777778
Dog,Chihuahua Shorthair Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,4.145138888888889
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,3 weeks,3 months,Stray,Normal,Adoption,84.25763888888889
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,1 year,1 year,Stray,Normal,Transfer,3.9618055555555554
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,1 day,2 days,Owner Surrender,Normal,Transfer,0.7715277777777778
Dog,American Staffordshire Terrier Mix,Intact Female,Intact Female,1 year,1 year,Stray,Normal,Transfer,9.009027777777778
Cat,Siamese Mix,Intact Male,Intact Male,3 weeks,3 weeks,Stray,Nursing,Transfer,0.10555555555555556
Dog,Dachshund,Intact Female,Spayed Female,2 years,2 years,Stray,Injured,Transfer,4.863888888888889
Dog,Beagle/Chihuahua Shorthair,Intact Female,Spayed Female,1 year,1 year,Stray,Other,Transfer,2.075
Dog,Labrador Retriever Mix,Intact Male,Neutered Male,9 months,9 months,Stray,Normal,Transfer,9.17361111111111
Dog,Siberian Husky Mix,Intact Female,Intact Female,1 year,1 year,Stray,Normal,Return to Owner,0.24097222222222223
Dog,German Shepherd,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,6.060416666666668
Dog,German Shepherd Mix,Intact Female,Spayed Female,1 month,2 months,Stray,Normal,Adoption,4.125694444444444
Dog,Mastiff Mix,Neutered Male,Neutered Male,3 years,3 years,Stray,Normal,Adoption,6.968055555555556
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,7 years,7 years,Stray,Injured,Euthanasia,0.03402777777777777
Dog,Chihuahua Shorthair Mix,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,5.151388888888889
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,111.26666666666668
Dog,Border Collie Mix,Neutered Male,Neutered Male,1 year,1 year,Stray,Normal,Return to Owner,0.10486111111111111
Dog,Pit Bull Mix,Spayed Female,Spayed Female,11 months,11 months,Owner Surrender,Normal,Adoption,19.302777777777777
Dog,Pit Bull Mix,Spayed Female,Spayed Female,2 years,2 years,Stray,Normal,Adoption,40.8625
Cat,Domestic Medium Hair Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,26.194444444444443
Dog,Jack Russell Terrier Mix,Intact Male,Intact Male,0 years,2 days,Stray,Pregnant,Transfer,2.227777777777778
Dog,Bull Terrier Mix,Neutered Male,Neutered Male,2 years,3 years,Stray,Normal,Return to Owner,0.720138888888889
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,6 years,6 years,Owner Surrender,Normal,Adoption,219.1013888888889
Dog,Siberian Husky/Labrador Retriever,Neutered Male,Neutered Male,1 year,1 year,Owner Surrender,Normal,Adoption,10.165277777777778
Cat,Domestic Shorthair Mix,Unknown,Unknown,4 days,4 days,Stray,Nursing,Transfer,0.19375
Dog,Golden Retriever Mix,Neutered Male,Neutered Male,9 years,9 years,Stray,Normal,Return to Owner,0.12083333333333332
Dog,Chihuahua Shorthair Mix,Intact Male,Neutered Male,3 years,3 years,Stray,Normal,Return to Owner,5.173611111111111
Dog,Labrador Retriever Mix,Neutered Male,Neutered Male,8 years,8 years,Stray,Normal,Return to Owner,1.05
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,1 month,2 months,Stray,Normal,Adoption,30.163888888888888
Dog,Pit Bull Mix,Neutered Male,Neutered Male,2 years,2 years,Owner Surrender,Normal,Euthanasia,6.9215277777777775
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,1 month,Stray,Normal,Adoption,5.050694444444445
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 month,2 months,Owner Surrender,Normal,Adoption,10.157638888888888
Dog,Pit Bull Mix,Intact Female,Intact Female,1 month,1 month,Stray,Normal,Transfer,0.11527777777777778
Dog,German Shepherd Mix,Neutered Male,Neutered Male,11 years,11 years,Stray,Normal,Return to Owner,1.0083333333333333
Dog,Labrador Retriever Mix,Spayed Female,Spayed Female,10 months,10 months,Stray,Normal,Return to Owner,2.1013888888888888
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,5 weeks,3 months,Stray,Normal,Adoption,71.95347222222222
Dog,Pit Bull Mix,Neutered Male,Neutered Male,2 years,3 years,Public Assist,Normal,Return to Owner,10.980555555555556
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 year,1 year,Public Assist,Normal,Transfer,13.006944444444445
Dog,Chihuahua Shorthair Mix,Intact Male,Intact Male,0 years,3 days,Owner Surrender,Nursing,Transfer,3.1805555555555554
Dog,Boston Terrier,Intact Female,Spayed Female,2 years,2 years,Stray,Normal,Return to Owner,2.979166666666667
Dog,Dachshund Mix,Intact Male,Intact Male,3 years,3 years,Owner Surrender,Injured,Euthanasia,0.0888888888888889
Dog,Labrador Retriever Mix,Intact Male,Neutered Male,1 month,1 month,Stray,Normal,Adoption,8.306944444444444
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,10 months,10 months,Stray,Injured,Adoption,9.254166666666666
Dog,Chihuahua Shorthair Mix,Intact Female,Spayed Female,8 months,9 months,Stray,Pregnant,Adoption,4.170833333333333
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,1 year,1 year,Owner Surrender,Normal,Adoption,1.2645833333333334
Dog,Dachshund,Neutered Male,Neutered Male,10 years,10 years,Stray,Normal,Adoption,4.195833333333334
