animal_type,breed,sex_upon_intake,sex_upon_outcome,age_upon_intake,age_upon_outcome,intake_type,intake_condition,outcome_type,time_in_shelter_days
Cat,Domestic Medium Hair Mix,Intact Female,Intact Female,1 month,1 month,Owner Surrender,Normal,Transfer,0.9576388888888888
Dog,Australian Shepherd Mix,Intact Female,Spayed Female,1 month,1 month,Stray,Normal,Adoption,5.183333333333334
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 year,1 year,Owner Surrender,Normal,Adoption,38.04375
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,12 years,12 years,Stray,Normal,Return to Owner,3.010416666666667
Dog,Rhod Ridgeback Mix,Intact Male,Neutered Male,2 months,3 months,Stray,Normal,Adoption,5.141666666666667
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,3 weeks,3 weeks,Stray,Normal,Transfer,0.09375
Dog,Basset Hound/Labrador Retriever,Neutered Male,Neutered Male,2 years,2 years,Owner Surrender,Normal,Adoption,8.01875
Dog,Border Collie Mix,Neutered Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,7.080555555555556
Dog,Great Pyrenees Mix,Intact Female,Spayed Female,4 months,5 months,Owner Surrender,Normal,Adoption,4.059027777777778
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,26.87638888888889
Cat,Snowshoe Mix,Spayed Female,Spayed Female,3 years,3 years,Stray,Normal,Adoption,0.16041666666666668
Dog,Pit Bull Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,4.04375
Dog,Redbone Hound Mix,Intact Male,Intact Male,2 months,3 months,Stray,Normal,Euthanasia,24.08402777777778
Dog,Boxer Mix,Neutered Male,Neutered Male,1 year,1 year,Stray,Normal,Adoption,41.852777777777774
Dog,Pit Bull Mix,Spayed Female,Spayed Female,3 years,3 years,Stray,Normal,Return to Owner,0.8847222222222222
Dog,Pit Bull Mix,Intact Male,Intact Male,2 years,2 years,Public Assist,Normal,Transfer,51.66111111111111
Dog,Catahoula Mix,Intact Male,Neutered Male,1 month,1 month,Stray,Normal,Return to Owner,4.202083333333333
Dog,German Shepherd Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,9.92986111111111
Cat,Siamese Mix,Neutered Male,Neutered Male,2 years,2 years,Public Assist,Normal,Return to Owner,1.8541666666666667
Dog,Labrador Retriever Mix,Neutered Male,Neutered Male,3 years,3 years,Stray,Normal,Return to Owner,0.2923611111111111
Dog,Miniature Poodle Mix,Intact Female,Intact Female,4 years,5 years,Public Assist,Normal,Return to Owner,11.214583333333335
Dog,Pit Bull Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,30.082638888888887
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,4 weeks,2 months,Stray,Normal,Adoption,41.16736111111111
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,5 months,7 months,Stray,Normal,Adoption,62.05625
Dog,Cocker Spaniel Mix,Intact Male,Intact Male,10 years,10 years,Owner Surrender,Normal,Transfer,3.1743055555555557
